"DolphinID"	"Species"	"Age"	"Sex"	"Stain"	"Location"
"1"	9	"Delphinusdelphis"	11.5	1	"Mayer"	"Scotland"
"2"	9	"Delphinusdelphis"	11.5	1	"Elrich"	"Scotland"
"3"	9	"Delphinusdelphis"	11	1	"Toluidine"	"Scotland"
"4"	25	"Delphinusdelphis"	1.5	1	"Mayer"	"Scotland"
"5"	25	"Delphinusdelphis"	1.5	1	"Elrich"	"Scotland"
"6"	25	"Delphinusdelphis"	1.5	1	"Toluidine"	"Scotland"
"7"	37	"Delphinusdelphis"	2	1	"Mayer"	"Scotland"
"8"	37	"Delphinusdelphis"	2	1	"Elrich"	"Scotland"
"9"	37	"Delphinusdelphis"	3	1	"Toluidine"	"Scotland"
"10"	47	"Delphinusdelphis"	12	2	"Mayer"	"Spain"
"11"	47	"Delphinusdelphis"	9	2	"Elrich"	"Spain"
"12"	47	"Delphinusdelphis"	10	2	"Toluidine"	"Spain"
"13"	51	"Delphinusdelphis"	15	2	"Mayer"	"Spain"
"14"	51	"Delphinusdelphis"	13	2	"Elrich"	"Spain"
"15"	51	"Delphinusdelphis"	15	2	"Toluidine"	"Spain"
"16"	55	"Delphinusdelphis"	0.75	2	"Mayer"	"Spain"
"17"	55	"Delphinusdelphis"	0.5	2	"Elrich"	"Spain"
"18"	55	"Delphinusdelphis"	0.5	2	"Toluidine"	"Spain"
"19"	57	"Delphinusdelphis"	15	2	"Mayer"	"Spain"
"20"	57	"Delphinusdelphis"	13	2	"Elrich"	"Spain"
"21"	57	"Delphinusdelphis"	15	2	"Toluidine"	"Spain"
"22"	30	"Lagenorhynchusacutus"	9.5	1	"Mayer"	"Scotland"
"23"	30	"Lagenorhynchusacutus"	7.5	1	"Elrich"	"Scotland"
"24"	30	"Lagenorhynchusacutus"	7	1	"Toluidine"	"Scotland"
"25"	31	"Lagenorhynchusacutus"	11.5	1	"Mayer"	"Scotland"
"26"	31	"Lagenorhynchusacutus"	12	1	"Elrich"	"Scotland"
"27"	31	"Lagenorhynchusacutus"	10	1	"Toluidine"	"Scotland"
"28"	36	"Lagenorhynchusacutus"	1.5	2	"Mayer"	"Scotland"
"29"	36	"Lagenorhynchusacutus"	1.5	2	"Elrich"	"Scotland"
"30"	36	"Lagenorhynchusacutus"	1.5	2	"Toluidine"	"Scotland"
"31"	5	"Phocoenaphocoena"	1.25	1	"Mayer"	"Scotland"
"32"	5	"Phocoenaphocoena"	1.25	1	"Elrich"	"Scotland"
"33"	5	"Phocoenaphocoena"	1.5	1	"Toluidine"	"Scotland"
"34"	6	"Phocoenaphocoena"	2.5	2	"Mayer"	"Scotland"
"35"	6	"Phocoenaphocoena"	2.5	2	"Elrich"	"Scotland"
"36"	6	"Phocoenaphocoena"	2.5	2	"Toluidine"	"Scotland"
"37"	7	"Phocoenaphocoena"	7.5	1	"Mayer"	"Scotland"
"38"	7	"Phocoenaphocoena"	7	1	"Elrich"	"Scotland"
"39"	7	"Phocoenaphocoena"	8	1	"Toluidine"	"Scotland"
"40"	8	"Phocoenaphocoena"	1.5	1	"Mayer"	"Scotland"
"41"	8	"Phocoenaphocoena"	1.5	1	"Elrich"	"Scotland"
"42"	8	"Phocoenaphocoena"	1.5	1	"Toluidine"	"Scotland"
"43"	10	"Phocoenaphocoena"	10	0	"Mayer"	"Scotland"
"44"	10	"Phocoenaphocoena"	8.5	0	"Elrich"	"Scotland"
"45"	10	"Phocoenaphocoena"	10	0	"Toluidine"	"Scotland"
"46"	11	"Phocoenaphocoena"	5	2	"Mayer"	"Scotland"
"47"	11	"Phocoenaphocoena"	7.5	2	"Elrich"	"Scotland"
"48"	11	"Phocoenaphocoena"	6.5	2	"Toluidine"	"Scotland"
"49"	12	"Phocoenaphocoena"	1.75	2	"Mayer"	"Scotland"
"50"	12	"Phocoenaphocoena"	1.75	2	"Elrich"	"Scotland"
"51"	12	"Phocoenaphocoena"	1.75	2	"Toluidine"	"Scotland"
"52"	13	"Phocoenaphocoena"	1.25	2	"Mayer"	"Scotland"
"53"	13	"Phocoenaphocoena"	1.25	2	"Elrich"	"Scotland"
"54"	13	"Phocoenaphocoena"	1.25	2	"Toluidine"	"Scotland"
"55"	14	"Phocoenaphocoena"	8	1	"Mayer"	"Scotland"
"56"	14	"Phocoenaphocoena"	7	1	"Elrich"	"Scotland"
"57"	14	"Phocoenaphocoena"	7.5	1	"Toluidine"	"Scotland"
"58"	15	"Phocoenaphocoena"	0.75	1	"Mayer"	"Scotland"
"59"	15	"Phocoenaphocoena"	0.75	1	"Elrich"	"Scotland"
"60"	15	"Phocoenaphocoena"	0.75	1	"Toluidine"	"Scotland"
"61"	17	"Phocoenaphocoena"	0.5	2	"Mayer"	"Scotland"
"62"	17	"Phocoenaphocoena"	0.5	2	"Elrich"	"Scotland"
"63"	17	"Phocoenaphocoena"	0.5	2	"Toluidine"	"Scotland"
"64"	18	"Phocoenaphocoena"	0.75	1	"Mayer"	"Scotland"
"65"	18	"Phocoenaphocoena"	0.75	1	"Elrich"	"Scotland"
"66"	18	"Phocoenaphocoena"	0.75	1	"Toluidine"	"Scotland"
"67"	19	"Phocoenaphocoena"	1.5	1	"Mayer"	"Scotland"
"68"	19	"Phocoenaphocoena"	1.25	1	"Elrich"	"Scotland"
"69"	19	"Phocoenaphocoena"	1.25	1	"Toluidine"	"Scotland"
"70"	20	"Phocoenaphocoena"	1.25	1	"Mayer"	"Scotland"
"71"	20	"Phocoenaphocoena"	1.25	1	"Elrich"	"Scotland"
"72"	20	"Phocoenaphocoena"	1.25	1	"Toluidine"	"Scotland"
"73"	21	"Phocoenaphocoena"	2	2	"Mayer"	"Scotland"
"74"	21	"Phocoenaphocoena"	2	2	"Elrich"	"Scotland"
"75"	21	"Phocoenaphocoena"	2	2	"Toluidine"	"Scotland"
"76"	22	"Phocoenaphocoena"	7	1	"Mayer"	"Scotland"
"77"	22	"Phocoenaphocoena"	7.5	1	"Elrich"	"Scotland"
"78"	22	"Phocoenaphocoena"	8	1	"Toluidine"	"Scotland"
"79"	23	"Phocoenaphocoena"	10.5	2	"Mayer"	"Scotland"
"80"	23	"Phocoenaphocoena"	7	2	"Elrich"	"Scotland"
"81"	23	"Phocoenaphocoena"	10	2	"Toluidine"	"Scotland"
"82"	24	"Phocoenaphocoena"	0.75	1	"Mayer"	"Scotland"
"83"	24	"Phocoenaphocoena"	0.75	1	"Elrich"	"Scotland"
"84"	24	"Phocoenaphocoena"	0.75	1	"Toluidine"	"Scotland"
"85"	26	"Phocoenaphocoena"	1.5	2	"Mayer"	"Scotland"
"86"	26	"Phocoenaphocoena"	1.25	2	"Elrich"	"Scotland"
"87"	26	"Phocoenaphocoena"	1.25	2	"Toluidine"	"Scotland"
"88"	27	"Phocoenaphocoena"	11	2	"Mayer"	"Scotland"
"89"	27	"Phocoenaphocoena"	8	2	"Elrich"	"Scotland"
"90"	27	"Phocoenaphocoena"	10	2	"Toluidine"	"Scotland"
"91"	28	"Phocoenaphocoena"	10	2	"Mayer"	"Scotland"
"92"	28	"Phocoenaphocoena"	9	2	"Elrich"	"Scotland"
"93"	28	"Phocoenaphocoena"	9	2	"Toluidine"	"Scotland"
"94"	29	"Phocoenaphocoena"	10	1	"Mayer"	"Scotland"
"95"	29	"Phocoenaphocoena"	7.5	1	"Elrich"	"Scotland"
"96"	29	"Phocoenaphocoena"	8	1	"Toluidine"	"Scotland"
"97"	32	"Phocoenaphocoena"	1.5	2	"Mayer"	"Scotland"
"98"	32	"Phocoenaphocoena"	1.5	2	"Elrich"	"Scotland"
"99"	32	"Phocoenaphocoena"	1.5	2	"Toluidine"	"Scotland"
"100"	33	"Phocoenaphocoena"	2.5	1	"Mayer"	"Scotland"
"101"	33	"Phocoenaphocoena"	1.5	1	"Elrich"	"Scotland"
"102"	33	"Phocoenaphocoena"	2.5	1	"Toluidine"	"Scotland"
"103"	35	"Phocoenaphocoena"	8	1	"Mayer"	"Scotland"
"104"	35	"Phocoenaphocoena"	7	1	"Elrich"	"Scotland"
"105"	35	"Phocoenaphocoena"	8	1	"Toluidine"	"Scotland"
"106"	38	"Phocoenaphocoena"	1.5	1	"Mayer"	"Scotland"
"107"	38	"Phocoenaphocoena"	1.5	1	"Elrich"	"Scotland"
"108"	38	"Phocoenaphocoena"	1.5	1	"Toluidine"	"Scotland"
"109"	1	"Stenellacoeruleoalba"	1.5	1	"Mayer"	"Spain"
"110"	1	"Stenellacoeruleoalba"	1.5	1	"Elrich"	"Spain"
"111"	1	"Stenellacoeruleoalba"	1.5	1	"Toluidine"	"Spain"
"112"	4	"Stenellacoeruleoalba"	15	1	"Mayer"	"Spain"
"113"	4	"Stenellacoeruleoalba"	14	1	"Elrich"	"Spain"
"114"	4	"Stenellacoeruleoalba"	13	1	"Toluidine"	"Spain"
"115"	34	"Stenellacoeruleoalba"	1.5	1	"Mayer"	"Scotland"
"116"	34	"Stenellacoeruleoalba"	1.25	1	"Elrich"	"Scotland"
"117"	34	"Stenellacoeruleoalba"	1.75	1	"Toluidine"	"Scotland"
"118"	41	"Stenellacoeruleoalba"	16	1	"Mayer"	"Spain"
"119"	41	"Stenellacoeruleoalba"	14	1	"Elrich"	"Spain"
"120"	41	"Stenellacoeruleoalba"	15.5	1	"Toluidine"	"Spain"
"121"	49	"Stenellacoeruleoalba"	16.75	1	"Mayer"	"Spain"
"122"	49	"Stenellacoeruleoalba"	13	1	"Elrich"	"Spain"
"123"	49	"Stenellacoeruleoalba"	14	1	"Toluidine"	"Spain"
"124"	53	"Stenellacoeruleoalba"	1.25	2	"Mayer"	"Spain"
"125"	53	"Stenellacoeruleoalba"	1	2	"Elrich"	"Spain"
"126"	53	"Stenellacoeruleoalba"	1.25	2	"Toluidine"	"Spain"
"127"	54	"Stenellacoeruleoalba"	17	1	"Mayer"	"Spain"
"128"	54	"Stenellacoeruleoalba"	14	1	"Elrich"	"Spain"
"129"	54	"Stenellacoeruleoalba"	15	1	"Toluidine"	"Spain"
"130"	58	"Stenellacoeruleoalba"	23	1	"Mayer"	"Spain"
"131"	58	"Stenellacoeruleoalba"	18	1	"Elrich"	"Spain"
"132"	58	"Stenellacoeruleoalba"	20	1	"Toluidine"	"Spain"
"133"	61	"Stenellacoeruleoalba"	20	1	"Mayer"	"Spain"
"134"	61	"Stenellacoeruleoalba"	16	1	"Elrich"	"Spain"
"135"	61	"Stenellacoeruleoalba"	18	1	"Toluidine"	"Spain"
"136"	2	"Stenellafrontalis"	25	2	"Mayer"	"Spain"
"137"	2	"Stenellafrontalis"	24	2	"Elrich"	"Spain"
"138"	2	"Stenellafrontalis"	23	2	"Toluidine"	"Spain"
"139"	3	"Stenellafrontalis"	9.5	2	"Mayer"	"Spain"
"140"	3	"Stenellafrontalis"	10	2	"Elrich"	"Spain"
"141"	3	"Stenellafrontalis"	10	2	"Toluidine"	"Spain"
"142"	39	"Stenellafrontalis"	1.75	2	"Mayer"	"Spain"
"143"	39	"Stenellafrontalis"	1	2	"Elrich"	"Spain"
"144"	39	"Stenellafrontalis"	1.5	2	"Toluidine"	"Spain"
"145"	40	"Stenellafrontalis"	1.5	2	"Mayer"	"Spain"
"146"	40	"Stenellafrontalis"	1	2	"Elrich"	"Spain"
"147"	40	"Stenellafrontalis"	1	2	"Toluidine"	"Spain"
"148"	45	"Stenellafrontalis"	0.5	1	"Mayer"	"Spain"
"149"	45	"Stenellafrontalis"	0	1	"Elrich"	"Spain"
"150"	45	"Stenellafrontalis"	1.5	1	"Toluidine"	"Spain"
"151"	50	"Stenellafrontalis"	8	1	"Mayer"	"Spain"
"152"	50	"Stenellafrontalis"	6	1	"Elrich"	"Spain"
"153"	50	"Stenellafrontalis"	7	1	"Toluidine"	"Spain"
"154"	52	"Stenellafrontalis"	0.25	2	"Mayer"	"Spain"
"155"	52	"Stenellafrontalis"	0	2	"Elrich"	"Spain"
"156"	52	"Stenellafrontalis"	0.5	2	"Toluidine"	"Spain"
"157"	56	"Stenellafrontalis"	0.75	1	"Mayer"	"Spain"
"158"	56	"Stenellafrontalis"	0.5	1	"Elrich"	"Spain"
"159"	56	"Stenellafrontalis"	1	1	"Toluidine"	"Spain"
"160"	60	"Stenellafrontalis"	17	2	"Mayer"	"Spain"
"161"	60	"Stenellafrontalis"	14	2	"Elrich"	"Spain"
"162"	60	"Stenellafrontalis"	15.5	2	"Toluidine"	"Spain"
"163"	42	"Tursiopstruncatus"	4	1	"Mayer"	"Spain"
"164"	42	"Tursiopstruncatus"	2	1	"Elrich"	"Spain"
"165"	42	"Tursiopstruncatus"	4	1	"Toluidine"	"Spain"
"166"	43	"Tursiopstruncatus"	5	1	"Mayer"	"Spain"
"167"	43	"Tursiopstruncatus"	3	1	"Elrich"	"Spain"
"168"	43	"Tursiopstruncatus"	4	1	"Toluidine"	"Spain"
"169"	44	"Tursiopstruncatus"	1.5	2	"Mayer"	"Spain"
"170"	44	"Tursiopstruncatus"	1.5	2	"Elrich"	"Spain"
"171"	44	"Tursiopstruncatus"	1.5	2	"Toluidine"	"Spain"
"172"	46	"Tursiopstruncatus"	19	1	"Mayer"	"Spain"
"173"	46	"Tursiopstruncatus"	11	1	"Elrich"	"Spain"
"174"	46	"Tursiopstruncatus"	14	1	"Toluidine"	"Spain"
"175"	48	"Tursiopstruncatus"	14	2	"Mayer"	"Spain"
"176"	48	"Tursiopstruncatus"	10	2	"Elrich"	"Spain"
"177"	48	"Tursiopstruncatus"	12	2	"Toluidine"	"Spain"
"178"	59	"Tursiopstruncatus"	3.75	2	"Mayer"	"Spain"
"179"	59	"Tursiopstruncatus"	3	2	"Elrich"	"Spain"
"180"	59	"Tursiopstruncatus"	3	2	"Toluidine"	"Spain"
