"gender","age","year","eyecolor","height","miles","brothers","sisters","computertime","exercise","exercisehours","musiccds","playgames","watchtv"
"1","female",18,"first","hazel",68,195,0,1,20,"Yes",3,75,6,18
"2","male",20,"third","brown",70,120,3,0,24,"No",0,50,0,3
"3","female",18,"first","green",67,200,0,1,35,"Yes",3,53,8,1
"4","male",23,"fourth","hazel",74,140,1,1,5,"Yes",25,50,0,7
"5","female",19,"second","blue",62,60,0,1,5,"Yes",4,30,2,5
"6","male",19,"second","green",67,0,0,1,5,"Yes",8,100,0,10
"7","male",37,"third","brown",74,511,1,1,3,"No",0,50,3,8
"8","male",22,"third","brown",73,210,3,2,2,"Yes",10,100,6,10
"9","female",26,"fourth","brown",70,120,2,1,5,"No",0,130,0,20
"10","male",21,"third","blue",68,90,1,1,5,"Yes",3,34,0.5,5
"11","male",25,"fourth","blue",69,90,0,3,3,"Yes",6,55,0,21
"12","female",20,"second","blue",70,93,0,1,15,"Yes",7,60,1,1
"13","male",29,"other","brown",69,244,1,1,5,"No",0,100,20,20
"14","female",19,"second","green",65,40,1,0,6,"Yes",4,175,0,12
"15","male",19,"first","blue",70,40,0,0,5,"No",0,150,3,2
"16","male",22,"other","blue",73,90,0,1,15,"Yes",10,35,20,4
"17","female",20,"second","brown",64,100,2,1,9,"No",0,30,10,8
"18","male",21,"third","brown",70,124,1,2,4,"Yes",6,5,1,5
"19","male",20,"third","blue",70,400,0,0,30,"Yes",4,50,5,1
"20","female",19,"second","hazel",63,206,1,1,10,"No",0,20,20,15
"21","male",20,"third","hazel",70,184,2,0,20,"No",0,40,10,20
"22","female",19,"second","blue",69,240,1,1,14,"No",0,15,1,10
"23","female",19,"first","hazel",65,230,1,0,12.5,"Yes",9,30,0,4.5
"24","female",19,"second","blue",64,0,1,0,6,"Yes",5,52,0,0
"25","male",18,"first","green",58,175,1,0,10,"No",0,40,5,5
"26","male",19,"second","blue",67,60,4,1,5,"Yes",2,50,10,12
"27","male",23,"fourth","brown",74,160,2,1,20,"No",0,60,15,40
"28","male",24,"other","blue",72,180,2,2,2,"Yes",7,100,7,21
"29","female",20,"second","brown",64,0,0,2,3,"Yes",3,50,0,10
"30","male",21,"third","green",70,100,1,1,6,"Yes",5,20,0,10
"31","female",22,"fourth","brown",66,300,1,0,1,"Yes",1,50,1,1
